avtocod;enodebid;cellid;cellname;band;azimuth;hbw;power;tilt;nc_latitude;nc_longitude;height;eventtime;neighbour;latitude;longitude;altitude;h3_15;servingcellrsrp;servingcellrsrq
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:08:32.933000;1;53.11462640762329;50.00107526779175;1002.0;644305104569512464;-105.0;-10.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:33.049000;1;53.11448693275452;50.000367164611816;992.0;644305104569510469;-84.0;-6.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:33.434000;1;53.2027530670166;50.11046648025513;105.0;644305104422447110;-75.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:35.084000;1;53.11344623565674;49.95710849761963;991.0;644305110891907804;-57.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:47.734000;1;53.110764026641846;49.99907970428467;967.0;644305104569230198;-70.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:48.153000;1;53.11071038246155;50.00000238418579;1004.0;644305104569218341;-86.0;-4.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:50.427000;1;53.11690092086792;49.95436191558838;989.0;644305110892341929;-59.0;-3.75
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:08:50.433000;1;53.202152252197266;50.109500885009766;0.0;644305104422521765;-94.0;-11.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:08:52.073000;1;53.10940682888031;49.99785661697388;999.5;644305104569767281;-112.0;-12.0
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:08:52.182000;1;53.20047855377197;50.10664701461792;0.0;644305104434243678;-104.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:52.296000;1;53.11805963516235;49.953460693359375;989.0;644305110892453147;-58.0;-5.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:08:55.792000;1;53.107759952545166;49.99736309051514;966.0;644305104569838443;-70.0;-7.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:08:57.421000;1;53.11847805976868;49.95311737060547;989.0;644305110892468853;-60.0;-4.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:08:58.914000;1;53.202141523361206;50.109500885009766;0.0;644305104422521760;-90.0;-12.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:00.463000;1;53.108049631118774;49.996912479400635;1004.0;644305104569829380;-112.0;-12.75
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:09:00.928000;1;53.10766339302063;49.99729871749878;966.0;644305104569838362;-74.0;-6.75
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:09:01.131000;1;53.202141523361206;50.109500885009766;0.0;644305104422521760;-87.0;-7.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:01.619000;1;53.1064510345459;49.99661207199097;965.0;644305110824706613;-80.0;-13.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:03.766000;1;53.20053219795227;50.1071834564209;1005.0;644305104434246947;-99.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:04.308000;1;53.20222735404968;50.11035919189453;0.0;644305104422524420;-70.0;-3.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:05.806000;1;53.12036633491516;49.95161533355713;988.0;644305108489231245;-59.0;-3.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:06.741000;1;53.106290102005005;49.99652624130249;965.0;644305110824707843;-85.0;-8.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:07.317000;1;53.10633301734924;49.99498128890991;1075.0;644305110824650824;-114.0;-10.25
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:09:10.389000;1;53.20212006568909;50.11061668395996;1.0;644305104422509568;-96.0;-6.25
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:09:12.445000;1;53.105818033218384;49.99431610107422;1084.0;644305110824676450;-113.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:14.556000;1;53.20205569267273;50.109050273895264;0.0;644305104430278486;-69.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:14.814000;1;53.10520648956299;49.99320030212402;997.0;644305110824855701;-85.0;-6.25
63;333333;31;33333331;LTE2100;70;68;43.0;5;53.20194444;50.10944444;21;2025-10-13T17:09:15.527000;1;53.20212006568909;50.11061668395996;1.0;644305104422509568;-98.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:09:15.843000;1;53.20205569267273;50.109050273895264;0.0;644305104430278486;-73.0;-4.75
